"ResourceArn","TagKey","TagValue"
"arn:aws:ec2:us-east-1:893437554381:instance/i-06e5f074bb2229ba7","sample","yes"
"arn:aws:ec2:us-east-1:893437554381:instance/i-0e5d001680fbe40f4","Name","arun-prod-test"
"arn:aws:ec2:us-east-1:893437554381:instance/i-0e5d001680fbe40f4","sample","yes"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","Name","sample-arun-sample-arun-Node"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","aws:autoscaling:groupName","sample-arun-worker-nodes-NodeGroup-UF5E4FR6Y4UI"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","aws:cloudformation:logical-id","NodeGroup"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","aws:cloudformation:stack-id","arn:aws:cloudformation:us-east-1:893437554381:stack/sample-arun-worker-nodes/0e3511a0-9563-11e8-8948-50fae98974c5"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","aws:cloudformation:stack-name","sample-arun-worker-nodes"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","kubernetes.io/cluster/sample-arun","owned"
"arn:aws:ec2:us-east-1:893437554381:instance/i-045964fd1d446a864","sample","yes"
